residence,age_range,meat_consumption,fresh_food_cons,habitation_type,tentants,house_size,house_energy_efficiency,weekly_car_km,car_type,person_per_travel,km_public,yearly_flight_hours
No,19-25,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",O,Benzina,Sempre,30,0
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,2,Grande (111-170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",280,Ibrida,Sempre,0,50
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),60,Diesel,Spesso,0,10
No,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",30,Benzina,Raramente,20,50
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),800,Ibrida,Raramente,0,15
Sì,36-45,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Ibrida,Raramente,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Ogni tanto,0,2
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa popolare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),300,Benzina,Ogni tanto,0,5
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Ibrida,Ogni tanto,5,1
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",25,Benzina,Ogni tanto,0,3
Sì,26-35,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",400,Diesel,Ogni tanto,0,2
Sì,Over 55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,2,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",30,Benzina,Raramente,0,6
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",60,Diesel,Ogni tanto,0,30
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Diesel,Raramente,0,0
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa popolare,5,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",300,Benzina,Ogni tanto,0,10
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",50,Benzina,Sempre,0,6
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,5,Molto grande (oltre 170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",200,Diesel,Mai,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,2,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",50,Benzina,Spesso,40,10
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),70,Diesel,Mai,0,4
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Diesel,Spesso,0,0
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa popolare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",180,Diesel,Mai,0,0
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Ibrida,Ogni tanto,0,15
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",100,Diesel,Raramente,0,10
Sì,26-35,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa unifamiliare,4,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",100,Diesel,Ogni tanto,36,0
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),600,Diesel,Raramente,0,0
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa unifamiliare,3,Grande (111-170 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",100,Diesel,Ogni tanto,0,20
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),250,Diesel,Ogni tanto,0,15
Sì,Under 19,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa unifamiliare,3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),70,Ibrida,Sempre,0,10
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Diesel,Sempre,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",5,Benzina,Ogni tanto,0,0
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,2,Grande (111-170 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",5,Benzina,Spesso,0,0
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",1000,Benzina,Raramente,0,100
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),155,Diesel,Mai,0,0
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",250,Diesel,Sempre,0,30
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,2,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",25,Diesel,Spesso,0,3
No,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Raramente,0,70
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa popolare,1,Piccola (fino a 20 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",0,Benzina,Mai,4,16
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Grande (111-170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",5,Diesel,Spesso,0,5
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),15,Benzina,Ogni tanto,0,8
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),250,Diesel,Spesso,0,10
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Sempre,0,4
Sì,26-35,Molto spesso (mangio carne o pesce tutti i giorni),25-50%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Diesel,Ogni tanto,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Benzina,Sempre,250,6
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,1,Media (21-50 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",75,Diesel,Raramente,0,10
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Benzina,Ogni tanto,0,4
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),30,Diesel,Spesso,0,2
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",50,Diesel,Sempre,1,50
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",15,Ibrida,Spesso,0,7
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Diesel,Raramente,0,10
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",200,Ibrida,Spesso,0,10
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",60,Diesel,Ogni tanto,0,3
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,8,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Diesel,Spesso,0,3
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,4,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),25,Diesel,Spesso,150,4
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,6,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),500,Diesel,Ogni tanto,0,16
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,2,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",10,Diesel,Spesso,0,0
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",2,Diesel,Spesso,0,5
Sì,46-55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),90,Diesel,Spesso,0,2
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Raramente,0,100
Sì,Over 55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),400,Diesel,Ogni tanto,0,3
Sì,46-55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Diesel,Mai,0,2
Sì,Over 55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Benzina,Ogni tanto,0,3
No,26-35,"Raramente (sono vegetariano: non mangio carne e pesce, ma mangio uova e latticini)",Oltre il 75%,Casa unifamiliare,1,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),2,Ibrida,Spesso,5,30
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",30,Benzina,Ogni tanto,0,5
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Benzina,Sempre,0,5
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",10,Benzina,Raramente,5,10
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",1,Diesel,Spesso,0,1
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",500,Diesel,Ogni tanto,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Diesel,Spesso,0,2
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Spesso,0,2
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Diesel,Raramente,0,2
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,2,Media (21-50 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",5,Benzina,Spesso,0,6
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Diesel,Mai,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,1,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Ogni tanto,0,0
No,46-55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),550,Diesel,Mai,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,2,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),15,Diesel,Ogni tanto,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,1,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),300,Diesel,Spesso,0,10
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,6,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Ibrida,Ogni tanto,0,30
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Benzina,Sempre,0,2
